5406:01-16 17:19:10.632  6269  6269 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 395ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 194ms (seq=2 running=177ms runnable=2ms io=1ms late=1ms h=android.app.ActivityThread$H w=110), msg 2 took 228ms (seq=3 running=201ms runnable=3ms io=5ms late=167ms h=android.app.ActivityThread$H w=159)
7720:01-16 17:52:28.560  1801 14461 I ActivityTaskManager: START u0 {act=android.settings.APPLICATION_DETAILS_SETTINGS dat=package:com.android.todolist flg=0x10008000 cmp=com.android.settings/.applications.InstalledAppDetails} from uid 10025
14108:01-16 18:01:21.761  1801  4994 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@2e2fabb
14280:01-16 18:01:33.255  1801  4994 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
14281:01-16 18:01:33.266  1801  4994 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14286:01-16 18:01:33.873  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{ca575 u0 com.android.todolist/.MainActivity t12332} time:76570053
14289:01-16 18:01:34.707  1801  9345 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
14290:01-16 18:01:34.721  1801  9345 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14298:01-16 18:01:35.317  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{b7dfda4 u0 com.android.todolist/.ListActivity t12332} time:76571498
14301:01-16 18:01:36.342  1801  4994 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
14302:01-16 18:01:36.352  1801  4994 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14307:01-16 18:01:36.713  1801  4979 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@45776ef
14308:01-16 18:01:36.945  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{73c707 u0 com.android.todolist/.MainActivity t12332} time:76573125
14893:01-16 18:02:13.969  1801  4204 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
14894:01-16 18:02:13.998  1801  4204 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
14899:01-16 18:02:14.574  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{f38f15f u0 com.android.todolist/.ListActivity t12332} time:76610754
14902:01-16 18:02:15.013  1801  4204 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
14903:01-16 18:02:15.026  1801  4995 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15065:01-16 18:02:15.629  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{f36f1c2 u0 com.android.todolist/.MainActivity t12332} time:76611809
15067:01-16 18:02:15.989  1801  4970 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@591d41c
15422:01-16 18:02:37.326  1801  8486 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
15423:01-16 18:02:37.346  1801  8486 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15433:01-16 18:02:37.938  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{234cb9b u0 com.android.todolist/.ListActivity t12332} time:76634118
15436:01-16 18:02:39.339  1801  2264 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@b4b430e
15691:01-16 18:03:00.461  1801  3687 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
15692:01-16 18:03:00.475  1801  2264 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15697:01-16 18:03:01.079  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{a11ac14 u0 com.android.todolist/.MainActivity t12332} time:76657259
15701:01-16 18:03:01.773  1801  4995 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
15702:01-16 18:03:01.790  1801  6328 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15710:01-16 18:03:02.406  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{3827e9c u0 com.android.todolist/.ListActivity t12332} time:76658586
15716:01-16 18:03:03.548  1801  4995 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
15717:01-16 18:03:03.560  1801  4976 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15723:01-16 18:03:03.776  1801  4976 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@e6d2c07
15725:01-16 18:03:04.151  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{a994d72 u0 com.android.todolist/.MainActivity t12332} time:76660331
15728:01-16 18:03:04.564  1801  4976 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
15729:01-16 18:03:04.578  1801  5181 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15737:01-16 18:03:05.179  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{d201c9 u0 com.android.todolist/.ListActivity t12332} time:76661359
15740:01-16 18:03:06.576  1801  4976 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@3d89665
15742:01-16 18:03:07.883  1801  4976 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
15743:01-16 18:03:07.900  1801  6328 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15755:01-16 18:03:08.483  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{ae7d8bf u0 com.android.todolist/.MainActivity t12332} time:76664663
15758:01-16 18:03:09.150  1801  4986 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
15759:01-16 18:03:09.168  1801  4986 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15767:01-16 18:03:09.758  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{e0d75fa u0 com.android.todolist/.ListActivity t12332} time:76665938
15770:01-16 18:03:11.093  1801  4995 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
15771:01-16 18:03:11.110  1801  4995 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15777:01-16 18:03:11.197  1801  5181 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@5195398
15778:01-16 18:03:11.688  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{717795a u0 com.android.todolist/.MainActivity t12332} time:76667869
15782:01-16 18:03:14.287  1801  4995 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10403
15783:01-16 18:03:14.305  1801  4995 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15792:01-16 18:03:14.895  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{53289e5 u0 com.android.todolist/.ListActivity t12332} time:76671076
15794:01-16 18:03:16.300  1801  4995 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@d13101a
15963:01-16 18:03:22.190  4988 23066 W MiuiPerfServiceClient: interceptAndQueuing:6269|com.android.todolist|399|176|unknown|null|com.android.todolist/com.android.todolist.ListActivity|76677583669967|Slow main thread|1
15965:01-16 18:03:25.104  1801  5181 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10403
15966:01-16 18:03:25.118  1801  5181 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 6269
15971:01-16 18:03:25.722  1801  1937 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{36878cd u0 com.android.todolist/.MainActivity t12332} time:76681902
16588:01-16 18:04:26.027  1801  1947 I ActivityManager: Force stopping com.android.todolist appid=10403 user=-1: deletePackageX
16589:01-16 18:04:26.030  1801  1947 I ActivityManager: Killing 6269:com.android.todolist/u0a403 (adj 700): stop com.android.todolist: deletePackageX
16590:01-16 18:04:26.034  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{36878cd u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16591:01-16 18:04:26.038  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{717795a u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16592:01-16 18:04:26.041  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{ae7d8bf u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16593:01-16 18:04:26.042  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{a994d72 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16594:01-16 18:04:26.044  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{a11ac14 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16595:01-16 18:04:26.046  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{f36f1c2 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16596:01-16 18:04:26.048  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{73c707 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16597:01-16 18:04:26.050  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{ca575 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16598:01-16 18:04:26.051  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{dea1df6 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16599:01-16 18:04:26.054  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{91fafc0 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16600:01-16 18:04:26.057  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{24a5264 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16601:01-16 18:04:26.059  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{c8c9f9 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16602:01-16 18:04:26.060  1801  1947 W ActivityTaskManager: Force removing ActivityRecord{9d9a9d8 u0 com.android.todolist/.MainActivity t12332 f}: app died, no saved state
16608:01-16 18:04:26.428  1801  4838 W LaunchParamsPersister: Failed to delete /data/system_ce/0/launch_params/com.android.todolist_.MainActivity.xml
16609:01-16 18:04:26.764  1801  1985 I ActivityManager: Force stopping com.android.todolist appid=10403 user=0: pkg removed
16613:01-16 18:04:26.803  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.lbe.security.miui/com.lbe.security.service.BootReceiver
16616:01-16 18:04:26.870  1801 10185 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
16617:01-16 18:04:26.893  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.instantapps.appmanagement.InstantAppRemoveMonitor
16618:01-16 18:04:26.893  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.services/com.facebook.oxygen.services.fbns.RegisteredMqttSystemBroadcastReceiver
16619:01-16 18:04:26.893  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.maps/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
16620:01-16 18:04:26.894  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
16621:01-16 18:04:26.894  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
16622:01-16 18:04:26.894  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
16623:01-16 18:04:26.909  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.audioeffect/com.android.musicfx.Compatibility$Receiver
16624:01-16 18:04:26.910  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.discover/com.xiaomi.market.data.MyPackageMonitor
16625:01-16 18:04:26.966  1801  8845 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.xiaomi.xmsf/com.xiaomi.push.service.receivers.PkgUninstallReceiver
16626:01-16 18:04:26.969  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.allgoritm.youla/ru.mail.libverify.utils.PackageStateReceiver
16627:01-16 18:04:26.969  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.citymobil/ru.mail.libverify.utils.PackageStateReceiver
16628:01-16 18:04:26.969  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.deliveryclub/ru.mail.libverify.utils.PackageStateReceiver
16629:01-16 18:04:26.969  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.katana/com.facebook.feed.platformads.AppInstallReceiver
16630:01-16 18:04:26.969  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.apps.photos/com.google.android.libraries.social.peoplekit.thirdparty.viewcontrollers.ThirdPartyReceiver
16631:01-16 18:04:26.970  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
16632:01-16 18:04:26.971  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.excel/com.microsoft.office.notification.SystemBroadcastReceiver
16633:01-16 18:04:26.971  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.asyncdatapointreporting.InstallBroadcastReceiver
16634:01-16 18:04:26.971  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.microsoft.office.powerpoint/com.microsoft.office.notification.SystemBroadcastReceiver
16635:01-16 18:04:26.971  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.vkontakte.android/ru.mail.libverify.utils.PackageStateReceiver
16636:01-16 18:04:26.971  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.android.todolist flg=0x4000010 (has extras) } to ru.sberbankmobile/com.kavsdk.AppInstallationReceiver
16642:01-16 18:04:27.145  1801  1801 I ConditionProviders: Disallowing condition provider com.android.todolist
16644:01-16 18:04:27.262  1801  1947 W XSpaceManagerService: update XSpace App: packageName:com.android.todolist, user:UserHandle{0}, action:android.intent.action.PACKAGE_REMOVED
16670:01-16 18:04:31.648  1801  8489 W BroadcastQueueInjector: Unable to launch app com.microsoft.office.word/10137 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
16672:01-16 18:04:31.655  1801  1947 W BroadcastQueueInjector: Unable to launch app com.yandex.browser/10222 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
16673:01-16 18:04:31.656  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.metro/10223 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
16701:01-16 18:04:33.251  1801  2263 W BroadcastQueueInjector: Unable to launch app ru.yandex.translate/10277 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
16702:01-16 18:04:33.253  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.yandexbus/10246 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
16703:01-16 18:04:33.254  1801  1947 W BroadcastQueueInjector: Unable to launch app ru.yandex.yandexnavi/10219 for broadcast Intent { act=android.intent.action.PACKAGE_FULLY_REMOVED dat=package:com.android.todolist flg=0x5000010 (has extras) }: process is not permitted to  auto start
26226:01-16 18:17:48.667  1801  1985 I InstallationStatistic: com.android.todolist|null|3278|254|40|1740|733|0
26229:01-16 18:17:48.689  1801  3284 I MiuiCompatModePackages: package com.android.todolist updated, removing config
26232:01-16 18:17:48.703  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.lbe.security.miui/com.lbe.security.service.BootReceiver
26233:01-16 18:17:48.704  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
26239:01-16 18:17:48.878  1801  4982 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
26242:01-16 18:17:48.900  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.facebook.appmanager/com.facebook.oxygen.common.packages.event.manifest.ManifestPackageEventReceiver
26244:01-16 18:17:48.906  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
26245:01-16 18:17:48.906  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
26246:01-16 18:17:48.906  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
26247:01-16 18:17:48.906  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
26248:01-16 18:17:48.906  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.audioeffect/com.android.musicfx.Compatibility$Receiver
26249:01-16 18:17:48.907  1801  1947 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.android.todolist flg=0x4000010 (has extras) } to com.miui.global.packageinstaller/.AppInstalledReceiver
